id,namegbxml,namearch,iswindow,thickness,embodiedenergy,eeunit_id,matdensityarch,matdensitygbxml,densityunit_id,unitcostmat,unitcostmle,unitcostttl,financialunit_id,lifeexpectancy,maintenancefactor,infosource,confidence
1,"Brick, Common: 8""","Brick 8""",0,1,1289.77,1,120,96.7665,2,4.56,11.31,15.2,3,100,1,,81
2,"Gypsum Wall Board: 1/2""","Gypsum Wall Board",0,0.5,1292.48,1,46.5,63.0543,2,0.63,0,0,3,100,1,,6
3,"1/8 in Pilkington single glazing",none,1,0.125,18.5,2,156.0699,156.0699,2,4.82,10.17,13.35,3,0,0,,72
4,"Rigid insulation: 2""","Rigid Insulation",0,0,30171,1,2,1.43589,2,0.25,0.61,0.83,3,100,1,,37
5,"Softwood, Lumber: 3 1/2""","Wood Framing 2x4"" @ 24"" oc",0,0,3663.5,1,31.8,0,2,540,1890,2700,1,60,1.6667,,70
6,"Asphalt Shingle: 1/2""","Asphalt Shingle",0,0,9,2,74.916,0,2,81,136.5,183,4,0,0,,66
7,"Brick, Common: 1' - 3 3/4""","Brick 8""",0,0,1289.77,1,120,96.763338,2,4.56,11.31,15.2,3,100,1,,95
8,"Gypsum Wall Board: 5/8""","Gypsum Wall Board",0,0,1292.48,1,46.5,68.67076,2,0.63,0,0,3,100,1,,79
9,"Structure, Wood Joist/Rafter Layer: 3 1/2""","Wood Framing 2x4"" @ 24"" oc",0,0,3663.5,1,31.8,30.9643,2,540,1890,2700,1,60,1.6667,,82
10,"Structure, Wood Joist/Rafter Layer: 5 1/2""","Wood Framing 2x6"" @ 24"" oc",0,0,3663.5,1,31.8,30.9643,2,540,1890,2700,1,60,1.6667,,60
11,"Structure, Wood Joist/Rafter Layer, Batt Insulation: 3 1/2""","Wood Framing 2x4"" @ 24"" oc",0,0,5138.7706,1,5.79,30.96427,2,540,1890,2700,1,60,1.6667,,64
12,"Structure, Wood Joist/Rafter Layer: 11 1/2""","2x12"" Rafter @ 24"" oc",0,0,3663.5,1,31.8,0,2,660,1070,1350,1,60,1.6667,,10
13,"Structure, Wood Joist/Rafter Layer: 3'","2x12"" Rafter @ 24"" oc",0,0,3663.5,1,31.8,0,2,660,1070,1350,1,60,1.6667,,10
14,"Structure, Wood Joist/Rafter Layer: 5 1/2","2x12"" Rafter @ 24"" oc",0,0,3663.5,1,31.8,0,2,660,1070,1350,3,60,1.6667,,20
15,"Oak Flooring: 1'","Sawn Hardwood",0,0,7.8,2,44.9481,0,2,0.52,0,0,3,0,0,,25
16,"Oak Flooring: 1 1/2""","Sawn Hardwood",0,0,7.8,2,44.9481,0,2,0.52,0,0,3,0,0,,35
17,"Plywood, Sheathing: 3/4""","Plywood Sheathing",0,0,6448.8,1,33.7,0,2,0.51,1.11,1.48,3,30,3.3333,,87
18,"5/8 in plywood","Plywood Sheathing",0,0,6448.8,1,33.9608,0,2,0.51,1.11,1.48,3,0,0,,67
19,"1 1/2 in wood",none,0,0,3181.26,1,31.8383,0,2,0,0,0,3,0,0,,61
20,"Concrete, Lightweight: 1' - 8""","Lightweight Concrete",0,0,0.95,2,620,0,1,16,0,0,3,30,1.3333,,99
